Company,Y-Column,Model,Method,RMSE,MAE,MSE,r2_score
500003-AEGIS LOGISTICS LTD.,UpperBandInNext12Months,Elastic Net Regression,ElasticFICoefficients0.1,0.1019848708425111,0.070247664477206,0.0104009138807636,0.8592418012343346
500003-AEGIS LOGISTICS LTD.,UpperBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.1126375960765323,0.088944679858101,0.0126872280499,0.8283005331929509
500003-AEGIS LOGISTICS LTD.,UpperBandInNext12Months,Lasso Regression,LassoFICoefficients0.1,0.1194490111252219,0.1084136386040021,0.0142680662587933,0.8069066497924446
500003-AEGIS LOGISTICS LTD.,UpperBandInNext12Months,Ridge Regression,RidgeFIFValue1000,0.1813249022108313,0.1519862796597537,0.0328787201617675,0.555043962410833
500003-AEGIS LOGISTICS LTD.,UpperBandInNext12Months,Linear Regression,LinearFIFValue1000,0.2945263709445537,0.2404084455842716,0.0867457831817688,-0.1739526286978758
500003-AEGIS LOGISTICS LTD.,UpperBandInNext1Months,Ridge Regression,RidgeFIFValue1000,0.0344982892876643,0.0250951258839337,0.0011901319637753,0.8317153505959248
500003-AEGIS LOGISTICS LTD.,UpperBandInNext1Months,Elastic Net Regression,ElasticFIFValue1000,0.0345834390539187,0.025220784835282,0.0011960142567961,0.8308835944135717
500003-AEGIS LOGISTICS LTD.,UpperBandInNext1Months,Linear Regression,LinearFIFValue1000,0.0345859951107348,0.025235241599957,0.0011961910577997,0.8308585947531799
500003-AEGIS LOGISTICS LTD.,UpperBandInNext1Months,Lasso Regression,LassoFIFValue1000,0.0346006702685961,0.0251385808637913,0.0011972063830361,0.830715027773526
500003-AEGIS LOGISTICS LTD.,UpperBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0416599051618287,0.0310574552813484,0.0017355476980925,0.754593570471753
500003-AEGIS LOGISTICS LTD.,UpperBandInNext24Months,Elastic Net Regression,ElasticFIFValue1000,0.5612227358742077,0.4390731037098206,0.3149709592621306,-1.981663965432937
500003-AEGIS LOGISTICS LTD.,UpperBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.6781694755185292,0.543324366316987,0.4599138375250771,-3.3537617555758423
500003-AEGIS LOGISTICS LTD.,UpperBandInNext24Months,Lasso Regression,LassoFIFValue1000,0.7622085521841286,0.579960253565451,0.5809618770226255,-4.499659708522571
500003-AEGIS LOGISTICS LTD.,UpperBandInNext24Months,Linear Regression,LinearFIPValue0.02,0.9322807325131868,0.7948110233847197,0.8691473642153239,-7.227759735700269
500003-AEGIS LOGISTICS LTD.,UpperBandInNext24Months,Ridge Regression,RidgeFIAllFeatureConsideration,0.938829813076503,0.7228070507952676,0.8814014179212617,-7.343762399727041
500003-AEGIS LOGISTICS LTD.,UpperBandInNext3Months,Lasso Regression,LassoFIFValue100,0.0630981054180833,0.0481058274016679,0.0039813709073515,0.7749608443785776
