Company,Y-Column,Model,Method,RMSE,MAE,MSE,n_neighbors,weights,metric,r2_score
500012-ANDHRA PETROCHEMICALS LTD.,LowerBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.1257149091877682,0.0864979344688206,0.0158042383920888,3,distance,manhattan,0.5748582637173674
500012-ANDHRA PETROCHEMICALS LTD.,UpperBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.3839322153823542,0.3058339930488017,0.1474039460084024,27,distance,manhattan,0.6737645028461788
500012-ANDHRA PETROCHEMICALS LTD.,UpperBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0761174993182102,0.0494676319454492,0.0057938737024577,8,distance,euclidean,0.7421929804760012
500012-ANDHRA PETROCHEMICALS LTD.,UpperBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,1.0759657032311765,0.9114315019411738,1.15770219452976,2,distance,euclidean,-8.414804437381788
500012-ANDHRA PETROCHEMICALS LTD.,UpperBandInNext3Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.1073799813638816,0.084505326018383,0.0115304603977075,31,distance,euclidean,0.8229237594759324
500012-ANDHRA PETROCHEMICALS LTD.,UpperBandInNext6Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.1540639725919252,0.1161626597969012,0.0237357076508054,8,distance,euclidean,0.9190395791201292
500012-ANDHRA PETROCHEMICALS LTD.,UpperBandInNext9Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.167659730672911,0.131787059861112,0.028109785289313,21,distance,euclidean,0.9468862041548762
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext12Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0663677010503337,0.0479379139901635,0.0044046717427064,3,distance,manhattan,0.9131223703201976
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext1Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.0614356248213543,0.0431546495637289,0.0037743359971902,11,distance,euclidean,0.6781028980311641
500013-ANSAL PROPERTIES & INFRASTRUCTURE LTD.,LowerBandInNext24Months,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.1138776268588137,0.0922972437481899,0.0129681138989952,2,distance,euclidean,0.6519773211099585
