Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Interglobe Aviation Ltd.,539448,30,0.0,0.0,0.0,-
Alkem Laboratories Ltd.,539523,30,0.0,0.0,0.0,-
KPIT Technologies Ltd.,542651,30,0.0,0.0,0.0,-
National Thermal Power Corp. Ltd.,532555,30,0.0,0.0,0.0,-
Petronet LNG Ltd.,532522,30,0.0,0.0,0.0,-
Gujarat Pipavav Port Ltd,533248,30,0.0,0.0,0.0,-
Dr. Lal Pathlabs Ltd.,539524,30,0.0,0.0,0.0,-
Ashoka Buildcon Ltd.,533271,30,0.0,0.0,0.0,-
Infosys Ltd.,500209,30,0.0,0.0,0.0,-
Hindustan Zinc Ltd.,500188,30,0.0,0.0,0.0,-
National Aluminium Co. Ltd.,532234,30,0.0,0.0,0.0,-
HCL Technologies Ltd.,532281,30,0.0,0.0,0.0,-
Jindal Steel & Power Ltd.,532286,30,0.0,0.0,0.0,-
Oberoi Realty Ltd.,533273,30,0.0,0.0,0.0,-
Glenmark Pharmaceuticals Ltd.,532296,30,0.0,0.0,0.0,-
Himadri Speciality Chemical Ltd.,500184,30,0.0,0.0,0.0,-
Mahanagar Gas Ltd.,539957,30,0.0,0.0,0.0,-
Thyrocare Technologies Ltd.,539871,30,0.0,0.0,0.0,-
Rail Vikas Nigam Ltd.,542649,30,0.0,0.0,0.0,-
Lux Industries Ltd.,539542,30,0.0,0.0,0.0,-
TVS Motor Co. Ltd.,532343,30,0.0,0.0,0.0,-
Sterlite Technologies Ltd.,532374,30,0.0,0.0,0.0,-
Indian Overseas Bank,532388,30,0.0,0.0,0.0,-
Birlasoft Ltd.,532400,30,0.0,0.0,0.0,-
Godrej Consumer Products Ltd.,532424,30,0.0,0.0,0.0,-
Oracle Financial Services Software Ltd.,532466,30,0.0,0.0,0.0,-
IDFC First Bank Ltd.,539437,30,0.0,0.0,0.0,-
Godfrey Phillips India Ltd.,500163,30,0.0,0.0,0.0,-
Amara Raja Batteries Ltd.,500008,30,0.0,0.0,0.0,-
Radico Khaitan Ltd.,532497,30,0.0,0.0,0.0,-
Indoco Remedies Ltd.,532612,30,0.0,0.0,0.0,-
Mahindra Holidays & Resorts India Ltd,533088,30,0.0,0.0,0.0,-
IIFL Finance Ltd.,532636,30,0.0,0.0,0.0,-
Gujarat Gas Ltd.,539336,30,0.0,0.0,0.0,-
Gujarat Fluorochemicals Ltd.,542812,30,0.0,0.0,0.0,-
Godrej Properties Ltd.,533150,30,0.0,0.0,0.0,-
Astral Ltd.,532830,30,0.0,0.0,0.0,-
Indiabulls Real Estate Ltd.,532832,30,0.0,0.0,0.0,-
Fortis Healthcare Ltd.,532843,30,0.0,0.0,0.0,-
Exide Industries Ltd.,500086,30,0.0,0.0,0.0,-
Meghmani Organics Ltd.,532865,30,0.0,0.0,0.0,-
DLF Ltd.,532868,30,0.0,0.0,0.0,-
Sun Pharma Advanced Research Company Ltd.,532872,30,0.0,0.0,0.0,-
Omaxe Ltd.,532880,30,0.0,0.0,0.0,-
KPR Mills Ltd.,532889,30,0.0,0.0,0.0,-
JSW Energy Ltd.,533148,30,0.0,0.0,0.0,-
Indian Railway Catering & Tourism Corpn. Ltd.,542830,30,0.0,0.0,0.0,-
Power Grid Corporation of India Ltd.,532898,30,0.0,0.0,0.0,-
