Company,Security Id,Days,Actual Average Returns %,Predicted Negative Range,Predicted Positive Range,Prediction Range
Trent Ltd.,500251,270,0.08038798140770252,-0.3286472508926211,0.20922110557703347,0.053968692313253956 to 0.09720684375292805
Page Industries Ltd.,532827,270,0.07973460579514825,-0.2898668393066762,0.052302111992025,0.05662218762994484 to 0.08390489407708607
Kalpataru Power Transmission Ltd.,522287,270,0.07964184707446809,-0.08531862492125147,0.1945922565225123,0.07284691419588588 to 0.09513953381030966
Fine Organic Industries Ltd.,541557,270,0.07482220258704139,-0.0463392034163565,0.06994910746825261,0.07135500132130064 to 0.08005594887681372
NBCC India Ltd.,534309,270,0.07449301583710406,-0.13672913257682814,0.13623115887743603,0.0643076503986649 to 0.08464128571286794
Kajaria Ceramics Ltd.,500233,270,0.0739310053475936,-0.8086264882145228,0.30645958124908895,0.014148436123199885 to 0.09658787028774128
TVS Srichakra Ltd.,509243,270,0.07287018647540983,-0.28802217534990326,0.2856094100715364,0.05188195684860919 to 0.09368259744645446
JK Paper Ltd.,532162,270,0.06878151430517711,-0.3234390442215242,0.2015235210773888,0.046534887058201524 to 0.08264260725299118
Dr. Lal Pathlabs Ltd.,539524,270,0.0680313144329897,-0.0007581035092372001,0.0680313144329897,0.06797973965478002 to 0.0680313144329897
Karnataka Bank Ltd.,532652,270,0.06604531543624162,-0.35525941878126943,0.10972569749780024,0.04258209506113682 to 0.07329218373894547
Indian Bank,532814,270,0.0657516153846154,-0.4438268221236977,0.2973381500240153,0.03656928487896192 to 0.08530207906416752
Siemens Ltd.,500550,270,0.06067252643162123,-0.35889813848927227,0.1319611727491342,0.038897269637871205 to 0.0686789441731908
Westlife Development Ltd.,505533,270,0.06052045386904763,-0.19918887367761742,0.15009237195185107,0.04846545282841383 to 0.06960411234185557
Thermax Ltd.,500411,270,0.05965641888297872,0.05965641888297872,1.8882030621503159,0.05965641888297872 to 0.17229985169474107
ICICI Bank Ltd.,532174,270,0.05774367264276228,-0.4066894288367427,0.11672148914368838,0.034259931396741446 to 0.06448360010225114
Heidelberg Cement India Ltd.,500292,270,0.05662348519515479,-0.19310977252345785,0.11595020358180272,0.045688936849633065 to 0.06318898983104418
Just Dial Ltd.,535648,270,0.05344987257617728,-0.0095421755923738,0.18684000821007138,0.05293984450666539 to 0.06343644720713752
KEC International Ltd.,532714,270,0.053309932975871284,-0.16699556670689428,0.05051199992163,0.044407410507459104 to 0.05600272430617059
