Company,Security Id,Average Returns %
Britannia Industries Ltd.,500825,0.0
Asian Paints Ltd.,500820,0.0
Tata Consumer Products Ltd.,500800,0.0
Nestle India Ltd.,500790,0.0
Tata Chemicals Ltd.,500770,0.0
NOCIL Ltd.,500730,0.0
Akzo Nobel India Ltd.,500710,0.0
Gujarat State Fertilizers & Chemicals Ltd.,500690,0.0
Escorts Ltd.,500495,0.0
Pfizer Ltd.,500680,0.0
Sanofi India Ltd.,500674,0.0
Gujarat Narmada Valley Fertilizers & Chemicals Ltd.,500670,0.0
Glaxosmithkline Pharmaceuticals Ltd.,500660,0.0
Great Eastern Shipping Company Ltd.,500620,0.0
Voltas Ltd.,500575,0.0
Tata Motors Ltd.,500570,0.0
Siemens Ltd.,500550,0.0
Bharat Petroleum Corpn. Ltd.,500547,0.0
Bosch Ltd.,500530,0.0
Mahindra & Mahindra Ltd.,500520,0.0
Larsen & Toubro Ltd.,500510,0.0
Grasim Industries Ltd.,500300,0.0
MRF Ltd.,500290,0.0
Ceat Ltd.,500878,0.0
CESC Ltd.,500084,0.0
Steel Authority Of India Ltd.,500113,0.0
State Bank of India,500112,0.0
Chennai Petroleum Corpn. Ltd.,500110,0.0
Mangalore Refinery & Petrochemicals Ltd.,500109,0.0
IFCI Ltd.,500106,0.0
Hindustan Petroleum Corpn. Ltd.,500104,0.0
Bharat Heavy Electricals Ltd.,500103,0.0
Dabur India Ltd.,500096,0.0
Crisil Ltd.,500092,0.0
Cipla Ltd.,500087,0.0
Exide Industries Ltd.,500086,0.0
Chambal Fertilisers & Chemicals Ltd.,500085,0.0
Blue Star Ltd.,500067,0.0
IDBI Bank Ltd.,500116,0.0
Bharat Electronics Ltd.,500049,0.0
Bata India Ltd.,500043,0.0
BASF India Ltd.,500042,0.0
Century Textiles & Inds. Ltd.,500040,0.0
Balrampur Chini Mills Ltd.,500038,0.0
Bajaj Finance Ltd.,500034,0.0
Force Motors Ltd.,500033,0.0
Bajaj Electricals Ltd.,500031,0.0
Atul Ltd.,500027,0.0
Bombay Dyeing & Mfg. Co. Ltd.,500020,0.0
Housing Development Finance Corpn. Ltd.,500010,0.0
Amara Raja Batteries Ltd.,500008,0.0
Titan Company Ltd.,500114,0.0
Dr. Reddy's Laboratories Ltd.,500124,0.0
Spicejet Ltd.,500285,0.0
Hindustan Zinc Ltd.,500188,0.0
Max Financial Services Ltd.,500271,0.0
Maharashtra Scooters Ltd.,500266,0.0
Maharashtra Seamless Ltd.,500265,0.0
The Ramco Cements Ltd.,500260,0.0
Lupin Ltd.,500257,0.0
LIC Housing Finance Ltd.,500253,0.0
Trent Ltd.,500251,0.0
KSB Ltd.,500249,0.0
