Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,Unixtime,Rate,% Return of Company,Close Price of SP500,% Return of SP500,Beta,% YTD of Company,% YTD of SP500,Alpha,Dividend Value,Revenue,Income,Expenditure,Net Profit,EPS,year,Revenue last 2 quarters,Income last 2 quarters,Expenditure  last 2 quarters,Net Profit  last 2 quarters,EPS last 2 quarters,Revenue last 4 quarters,Income last 4 quarters,Expenditure  last 4 quarters,Net Profit  last 4 quarters,EPS last 4 quarters,Revenue last 8 quarters,Income last 8 quarters,Expenditure  last 8 quarters,Net Profit  last 8 quarters,EPS last 8 quarters,p/e
2009-06-19,715.0,749.0,710.2,741.75,727.5144282228024,93428,3868,67970218.0,16117.0,17.25,38.8,26.75,1245349800.0,0.19,4.398311048557346,5466.33,1.7330422596548491,0.2818371479864698,63.417593528816994,267.8453368164747,-12.207623242896204,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,187.78481012658227
2009-06-22,745.0,767.0,732.15,737.5,747.117329052128,61042,2704,45605536.0,19737.0,32.33,34.85,-7.5,1245609000.0,0.2,-0.5729693292888416,5398.65,-1.2381250308708072,0.2820497999923685,64.35932203389831,272.4568179081808,-12.630659003662785,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,186.70886075949366
2009-06-23,723.0,741.4,710.0,721.7,727.2814294830887,50144,2432,36468800.0,8772.0,17.49,31.4,-1.3,1245695400.0,0.2,-2.142372881355925,5397.66,-0.01833791781278293,0.28191904925608285,67.9576001108494,272.5251312605833,-9.01604198267222,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,182.70886075949366
2009-06-24,728.1,759.0,720.0,754.75,741.8579573022804,74196,3136,55042893.0,22274.0,30.02,39.0,26.65,1245781800.0,0.19,4.579465151725093,5464.81,1.2440576101495848,0.28203176517745066,60.60284862537266,267.9476505130096,-15.10331418857836,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,191.0759493670886
2009-06-25,760.0,775.0,750.2,762.1,762.9275281347275,62645,3018,47793595.0,14102.0,22.51,24.8,2.1,1245868200.0,0.18,0.97383239483273,5437.38,-0.5019387682279941,0.2824028105141166,59.05392993045533,269.8038393490982,-17.26860008333668,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,192.9367088607595
2009-06-26,771.0,794.9,755.0,789.15,775.0944741532977,90321,3485,70007308.0,27383.0,30.32,39.9,18.15,1245954600.0,0.2,3.5494029654900894,5586.33,2.7393707999073147,0.2823981603872733,53.601976810492324,259.9436481554079,-19.94915160087404,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,199.78481012658227
2009-06-29,775.0,834.0,775.0,807.9,812.8896870660058,141851,5152,115309215.0,44002.0,31.02,59.0,32.9,1246213800.0,0.2,2.37597414940125,5630.55,0.7915751486217371,0.28208024127720754,50.03713330857782,257.11680031258044,-22.63401971176303,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,204.53164556962022
2009-06-30,815.0,825.0,768.55,777.1,793.5559056072217,132044,3246,104784296.0,67742.0,51.3,56.45,-37.9,1246300200.0,0.19,-3.812353013986869,5492.03,-2.4601504293541576,0.28216423911627636,55.98378587054433,266.12400150763926,-19.243279320005392,2.2,15148.48,15258.7,-13894.24,836.08,3.95,2009,33705.44,33764.590000000004,-30906.96,1926.73,9.09,63088.79,63221.17,-59644.479999999996,2376.29,11.21,132383.59,132686.35,-127079.34,3541.69,16.71,196.73417721518987
2009-07-01,780.0,794.5,749.0,780.7,777.6855444126074,69800,3452,54282451.0,8645.0,12.39,45.5,0.7,1246386600.0,0.17,0.4632608415905404,5550.35,1.0619024295206003,0.2819853149749405,55.264506212373504,262.27697352419216,-18.815811273974198,0.0,14689.3,14696.78,-13441.16,830.64,3.92,2009,33768.56,33838.83,-32115.85,1162.48,5.4799999999999995,61889.25,62048.16,-59474.15,1660.72,7.829999999999999,135129.55,135462.57,-130669.53,2932.6200000000003,13.84,199.15816326530614
2009-07-02,784.0,790.0,760.0,768.25,768.0167889033714,51403,2405,39478367.0,15983.0,31.09,30.0,-15.75,1246473000.0,0.17,-1.594722684770089,5563.16,0.23079625609194745,0.2819024884074402,57.78067035470225,261.442777126669,-16.04277567042824,0.0,14689.3,14696.78,-13441.16,830.64,3.92,2009,33768.56,33838.83,-32115.85,1162.48,5.4799999999999995,61889.25,62048.16,-59474.15,1660.72,7.829999999999999,135129.55,135462.57,-130669.53,2932.6200000000003,13.84,195.98214285714286
2009-07-03,760.0,787.0,750.0,784.1,778.0604264392322,46900,2323,36491034.0,10883.0,23.2,37.0,24.1,1246559400.0,0.19,2.063130491376497,5646.62,1.5002264899805162,0.2819631850340857,54.5912511159291,256.1004636401954,-17.756078295609974,0.0,14689.3,14696.78,-13441.16,830.64,3.92,2009,33768.56,33838.83,-32115.85,1162.48,5.4799999999999995,61889.25,62048.16,-59474.15,1660.72,7.829999999999999,135129.55,135462.57,-130669.53,2932.6200000000003,13.84,200.02551020408166
2009-07-06,790.0,808.0,730.0,745.2,761.0693677632083,104328,4159,79400845.0,40832.0,39.14,78.0,-44.8,1246818600.0,0.19,-4.961101900267816,5331.28,-5.584579801722089,0.28188244267762397,62.66103059581321,277.16345793130347,-15.60292428273074,0.0,14689.3,14696.78,-13441.16,830.64,3.92,2009,33768.56,33838.83,-32115.85,1162.48,5.4799999999999995,61889.25,62048.16,-59474.15,1660.72,7.829999999999999,135129.55,135462.57,-130669.53,2932.6200000000003,13.84,190.10204081632654
2009-07-07,749.45,758.85,736.05,752.05,750.1075766338927,36309,1549,27235656.0,12780.0,35.2,22.8,2.6,1246905000.0,0.19,0.9192163177670354,5369.81,0.7227157455620636,0.2797843694730125,61.179442856193106,274.4571968095705,-15.746231870303212,0.0,14689.3,14696.78,-13441.16,830.64,3.92,2009,33768.56,33838.83,-32115.85,1162.48,5.4799999999999995,61889.25,62048.16,-59474.15,1660.72,7.829999999999999,135129.55,135462.57,-130669.53,2932.6200000000003,13.84,191.84948979591837
2009-07-08,740.0,740.2,704.0,713.05,719.5118426651117,63457,2648,45658063.0,21284.0,33.54,36.2,-26.95,1246991400.0,0.18,-5.185825410544509,5209.44,-2.986511627040822,0.2797642618692129,69.9950915083094,285.9846739764735,-10.142842145489752,0.0,14689.3,14696.78,-13441.16,830.64,3.92,2009,33768.56,33838.83,-32115.85,1162.48,5.4799999999999995,61889.25,62048.16,-59474.15,1660.72,7.829999999999999,135129.55,135462.57,-130669.53,2932.6200000000003,13.84,181.90051020408163
