,Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
273,500940,,FINOLEXIND,FINOLEX INDUSTRIES LTD.,Active,A ,10.0,INE183A01016,Plastic Products,Equity
274,501110,,SUNRINV,SUNRISE INDUSTRIAL TRADERS LTD.,Active,XT,10.0,INE371U01015,Other Financial Services,Equity
275,501111,,ZGOLDINV,GOLD ROCK INVESTMENTS LTD.,Active,XT,10.0,INE598F01014,Comm.Trading  & Distribution,Equity
276,501144,,PEOPLIN,PEOPLES INVESTMENTS LTD.,Active,XT,10.0,INE644U01015,Misc.Commercial Services,Equity
277,501148,,DSINVEST,DALAL STREET INVESTMENTS LTD.,Active,XT,10.0,INE422D01012,Investment Companies,Equity
278,501150,,CENTRUM,CENTRUM CAPITAL LTD.,Active,B ,1.0,INE660C01027,Other Financial Services,Equity
279,501242,,TCIFINANCE,TCI FINANCE LTD.,Active,B ,10.0,INE911B01018,Finance (including NBFCs),Equity
280,501261,,KRATOSENER,KRATOS ENERGY & INFRASTRUCTURE LTD.,Active,XT,10.0,INE567L01017,Other Financial Services,Equity
281,501270,,ANTARIKSH,Antariksh Industries Ltd,Active,XT,10.0,INE825M01017,Realty,Equity
282,501295,,IITL,INDUSTRIAL INVESTMENT TRUST LTD.,Active,B ,10.0,INE886A01014,Finance (including NBFCs),Equity
283,501298,,INDPRUD,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.,Active,X ,10.0,INE620D01011,Investment Companies,Equity
284,501301,,TATAINVEST,TATA INVESTMENT CORPORATION LTD.,Active,A ,10.0,INE672A01018,Holding Companies,Equity
285,501311,,JAYBHCR,JAYABHARAT CREDIT LTD.-$,Active,XT,10.0,INE998D01011,Finance (including NBFCs),Equity
286,501314,,PRISMX,Prismx Global Ventures Ltd,Active,X ,10.0,INE286N01010,Comm.Trading  & Distribution,Equity
287,501343,,MOTOGENFIN,MOTOR & GENERAL FINANCE LTD.,Active,B ,5.0,INE861B01023,Finance (including NBFCs),Equity
288,501351,,RAPIDIN,RAPID INVESTMENTS LTD.,Active,XT,10.0,INE154M01012,Misc.Commercial Services,Equity
289,501370,,WALCHPF,WALCHAND PEOPLEFIRST LTD.,Active,X ,10.0,INE695D01021,Consulting Services,Equity
290,501386,,ZSWASTSA,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.,Active,XT,10.0,INE094R01019,Other Financial Services,Equity
291,501391,,WHBRADY,W.H.BRADY & CO.LTD.,Active,X ,10.0,INE855A01019,Comm.Trading  & Distribution,Equity
292,501421,,TECHNVISN,TECHNVISION VENTURES LTD.,Active,XT,10.0,INE314H01012,IT Software Products,Equity
293,501423,,SHAILY,SHAILY ENGINEERING PLASTICS LTD.,Active,X ,10.0,INE151G01010,Plastic Products,Equity
294,501425,,BBTC,BOMBAY BURMAH TRADING CORP.LTD.,Active,A ,2.0,INE050A01025,Tea & Coffee,Equity
295,501430,,BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LTD.,Active,X ,10.0,INE691K01017,Comm.Trading  & Distribution,Equity
296,501455,,GREAVESCOT,GREAVES COTTON LTD.,Active,A ,2.0,INE224A01026,Industrial Machinery,Equity
297,501477,,MULLER,MULLER & PHIPPS (INDIA) LTD.,Active,XT,10.0,INE003F01015,Comm.Trading  & Distribution,Equity
298,501622,,AMALGAM,AMALGAMATED ELECTRICITY CO.LTD.,Active,XT,5.0,INE492N01022,Misc.Commercial Services,Equity
