Company,Model,Method,Percentage
533260-CAREER POINT LTD,Linear Regression,LinearFIPValue0.2,0.5194401244167963
533260-CAREER POINT LTD,KNN-Regression,KNN_Regression_FI_ForwardSelection_,0.5132192846034215
533260-CAREER POINT LTD,Ridge Regression,RidgeFIForwardSelection,0.5101088646967341
533260-CAREER POINT LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5038880248833593
533287-ZEE LEARN LTD,Ridge Regression,RidgeFIFValue1,0.5175718849840255
533287-ZEE LEARN LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5079872204472844
533287-ZEE LEARN LTD,Linear Regression,LinearFIFValue10,0.5047923322683706
533287-ZEE LEARN LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5
533287-ZEE LEARN LTD,Lasso Regression,LassoFIFValue10,0.4920127795527156
533287-ZEE LEARN LTD,Elastic Net Regression,ElasticFIFValue10,0.4920127795527156
537291-NATH BIO-GENES (INDIA) LTD,Ridge Regression,RidgeFIForwardSelection,0.5518867924528302
537291-NATH BIO-GENES (INDIA) LTD,Elastic Net Regression,ElasticFIForwardSelection,0.5518867924528302
537291-NATH BIO-GENES (INDIA) LTD,Linear Regression,LinearFIForwardSelection,0.5471698113207547
537291-NATH BIO-GENES (INDIA) LTD,Lasso Regression,LassoFIForwardSelection,0.5471698113207547
537291-NATH BIO-GENES (INDIA) LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5259433962264151
537291-NATH BIO-GENES (INDIA) LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5094339622641509
539921-SHANTI EDUCATIONAL INITIATIVES LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.6837606837606838
539921-SHANTI EDUCATIONAL INITIATIVES LTD,Linear Regression,LinearFIBackwardElimination,0.6666666666666666
539921-SHANTI EDUCATIONAL INITIATIVES LTD,Ridge Regression,RidgeFIBackwardElimination,0.6666666666666666
539921-SHANTI EDUCATIONAL INITIATIVES LTD,Elastic Net Regression,ElasticFIForwardSelection,0.5384615384615384
539921-SHANTI EDUCATIONAL INITIATIVES LTD,Lasso Regression,LassoFIFValue10,0.4957264957264957
539921-SHANTI EDUCATIONAL INITIATIVES LTD,RNN-Regression,RNN_Regression_FI_ForwardSelection,0.4700854700854701
542602-EMBASSY OFFICE PARKS REIT,Lasso Regression,LassoFIPValue0.1,0.5692307692307692
542602-EMBASSY OFFICE PARKS REIT,Elastic Net Regression,ElasticFIPValue0.1,0.5692307692307692
542602-EMBASSY OFFICE PARKS REIT,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5692307692307692
542602-EMBASSY OFFICE PARKS REIT,Linear Regression,LinearFICoefficients0.1,0.5384615384615384
542602-EMBASSY OFFICE PARKS REIT,Ridge Regression,RidgeFICoefficients0.1,0.5384615384615384
542602-EMBASSY OFFICE PARKS REIT,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5307692307692308
