Predicted Values,Actual Values
[-0.00011275],[0.00050383]
[0.00113271],[-0.00234926]
[-0.00154233],[0.01069899]
[-0.00631824],[-0.00179606]
[-0.00021496],[0.03335405]
[-0.00391348],[0.01482872]
[-0.00095721],[-0.00683542]
[-0.0006283],[0.00652854]
[-0.00034949],[0.01131201]
[-0.00070968],[-0.00710248]
[-0.00169523],[0.00013966]
[-0.00771087],[0.00245294]
[0.0003691],[0.00152821]
[-0.00111673],[0.00425292]
[-0.00117313],[0.00159337]
[-0.00047041],[-0.00396067]
[0.00136683],[0.00670992]
[9.1219255e-05],[-0.00550575]
[-0.00167253],[-0.04408194]
[-0.00346964],[-0.00045144]
[-0.00065884],[-0.0063813]
[-0.00027918],[-0.04550868]
[-0.00235515],[0.00383531]
[0.00373731],[0.00467137]
[0.00020498],[0.02488671]
[0.00115104],[0.00264157]
[0.00080177],[-0.00722118]
[3.1222924e-05],[-0.00689368]
[-0.00055448],[-0.00562211]
[-0.00017408],[0.00328999]
[-0.00040436],[0.00996835]
[-0.00037357],[-0.00040699]
[-0.00175927],[0.00034996]
[-0.00128742],[0.00805322]
[-0.00076473],[0.01018223]
[0.00017515],[-0.00697267]
[-0.00085707],[-0.02186769]
[-0.00114011],[0.01080905]
[-0.00081586],[0.06969465]
[-0.00088924],[-0.00460484]
[-0.00081539],[0.01513353]
[-0.00228234],[0.00711208]
[-0.00386508],[-0.00671925]
[0.00114548],[0.00752115]
[2.000776e-06],[-0.00924492]
[-0.00678076],[0.00392579]
[0.00038176],[0.02188767]
[-0.00027257],[-0.00664952]
[0.00452516],[0.00534721]
[-0.00139659],[-0.00061113]
[-0.00043404],[-0.01411185]
[-0.00160687],[-0.00523883]
[0.0011376],[-0.0135663]
[0.00072557],[0.00283657]
[-0.00176729],[-0.00621742]
[0.00345542],[0.01361429]
[-0.00114684],[0.0133845]
[-0.00177655],[-0.0036228]
[0.00142887],[0.00859623]
[0.00011484],[-0.00357974]
[-0.00408129],[0.0054894]
[-0.00084721],[0.01420755]
