,Company,Model,Method,Percentage
196,533287-ZEE LEARN LTD,RNN-Regression,RNN_Regression_FI_ForwardSelection,0.5559105431309904
197,533287-ZEE LEARN LTD,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5447284345047924
198,533287-ZEE LEARN LTD,SVR,SVR_FI_FValue_1,0.5271565495207667
199,533287-ZEE LEARN LTD,Ridge Regression,RidgeFIFValue1,0.5175718849840255
200,533287-ZEE LEARN LTD,Linear Regression,LinearFIFValue10,0.5047923322683706
201,533287-ZEE LEARN LTD,Lasso Regression,LassoFIFValue10,0.4920127795527156
202,533287-ZEE LEARN LTD,Elastic Net Regression,ElasticFIFValue10,0.4920127795527156
145,537291-NATH BIO-GENES (INDIA) LTD,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9952830188679244
203,537291-NATH BIO-GENES (INDIA) LTD,SVR,SVR_FI_BackwardElimination_,0.5566037735849056
204,537291-NATH BIO-GENES (INDIA) LTD,Ridge Regression,RidgeFIForwardSelection,0.5518867924528302
205,537291-NATH BIO-GENES (INDIA) LTD,Elastic Net Regression,ElasticFIForwardSelection,0.5518867924528302
206,537291-NATH BIO-GENES (INDIA) LTD,Linear Regression,LinearFIForwardSelection,0.5471698113207547
207,537291-NATH BIO-GENES (INDIA) LTD,Lasso Regression,LassoFIForwardSelection,0.5471698113207547
208,537291-NATH BIO-GENES (INDIA) LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5471698113207547
209,537291-NATH BIO-GENES (INDIA) LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.5117924528301887
150,539921-SHANTI EDUCATIONAL INITIATIVES LTD,GRNN,GRNN_FI_BackwardElimination_stds_0.01,0.7094017094017094
210,539921-SHANTI EDUCATIONAL INITIATIVES LTD,KNN-Regression,KNN_Regression_FI_BackwardElimination_,0.7008547008547008
211,539921-SHANTI EDUCATIONAL INITIATIVES LTD,Linear Regression,LinearFIBackwardElimination,0.6666666666666666
212,539921-SHANTI EDUCATIONAL INITIATIVES LTD,Ridge Regression,RidgeFIBackwardElimination,0.6666666666666666
213,539921-SHANTI EDUCATIONAL INITIATIVES LTD,Elastic Net Regression,ElasticFIForwardSelection,0.5384615384615384
214,539921-SHANTI EDUCATIONAL INITIATIVES LTD,SVR,SVR_FI_BackwardElimination_,0.5384615384615384
215,539921-SHANTI EDUCATIONAL INITIATIVES LTD,Lasso Regression,LassoFIFValue10,0.4957264957264957
216,539921-SHANTI EDUCATIONAL INITIATIVES LTD,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.4786324786324786
155,542602-EMBASSY OFFICE PARKS REIT,GRNN,GRNN_FI_AllFeaturesConsideration_stds_0.01,0.9615384615384616
217,542602-EMBASSY OFFICE PARKS REIT,Lasso Regression,LassoFIPValue0.1,0.5692307692307692
218,542602-EMBASSY OFFICE PARKS REIT,Elastic Net Regression,ElasticFIPValue0.1,0.5692307692307692
219,542602-EMBASSY OFFICE PARKS REIT,Linear Regression,LinearFICoefficients0.1,0.5384615384615384
220,542602-EMBASSY OFFICE PARKS REIT,Ridge Regression,RidgeFICoefficients0.1,0.5384615384615384
221,542602-EMBASSY OFFICE PARKS REIT,KNN-Regression,KNN_Regression_FI_AllFeaturesConsideration_,0.5307692307692308
222,542602-EMBASSY OFFICE PARKS REIT,RNN-Regression,RNN_Regression_FI_BackwardElimination,0.5076923076923077
223,542602-EMBASSY OFFICE PARKS REIT,SVR,SVR_FI_FValue_1,0.4846153846153846
