SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
506879,GUJ.THEMIS. ,X ,Q,229.00,238.95,215.00,234.35,237.00,229.90,995,78687,17850301.00,
506910,JAYSN DYEST ,X ,Q,49.60,54.00,49.60,54.00,54.00,51.30,8,403,20908.00,
506919,MAKERS LAB. ,X ,Q,294.00,294.00,265.00,271.15,272.60,287.35,330,11645,3196464.00,
506935,CONT.CHEM   ,XT,Q,13.34,13.34,12.68,12.68,12.68,13.34,5,300,3808.00,
506943,J.B.CHEMICAL,A ,Q,1234.80,1262.95,1193.20,1242.45,1242.45,1200.45,3300,36908,45617253.00,
506975,RAJ.PETRO   ,P ,Q,2.73,2.73,2.47,2.47,2.47,2.60,3,600,1508.00,
506981,BL.CHIP TEX ,X ,Q,90.10,93.00,88.00,88.45,89.95,93.00,45,3981,354807.00,
507155,JAGATJIT IND,XT,Q,37.00,39.75,37.00,37.20,37.20,38.80,16,2049,77520.00,
507180,KESAR ENT.  ,X ,Q,38.95,40.00,37.55,37.55,37.55,38.85,37,5132,198252.00,
507205,TILAKNAG IND,B ,Q,27.30,28.10,27.00,27.40,27.40,27.50,113,21439,590080.00,
507300,RAVALGAON   ,XT,Q,1775.00,1800.00,1756.55,1756.55,1756.55,1849.00,19,82,144547.00,
507315,SAKTHI SUGAR,B ,Q,9.44,9.66,9.34,9.34,9.34,9.44,75,16174,151884.00,
507410,WALCHANDNGR ,B ,Q,62.20,63.60,60.30,60.65,60.35,61.85,580,43033,2650820.00,
507435,KHOD.INDIA  ,XT,Q,66.00,66.00,65.30,65.30,65.30,67.35,3,220,14384.00,
507438,IFB AGRO    ,B ,Q,438.90,445.75,431.30,440.05,438.30,440.10,211,2757,1211393.00,
507442,DHARANI SUG ,B ,Q,6.85,7.15,6.19,6.20,6.20,6.82,118,15108,95912.00,
507450,THIRU A.SUG.,Z ,Q,5.56,5.56,5.56,5.56,5.56,5.85,4,672,3736.00,
507474,KOTHARI FERM,X ,Q,47.85,50.80,46.55,46.70,46.65,46.70,40,2540,122092.00,
