% Deli. Qty to Traded Qty,Close Price,Code,Date,Deliverable Quantity,High Price,Low Price,No. of Trades,No.of Shares,Open Price,Spread Close-Open,Spread High-Low,Total Turnover (Rs.),Unix Date,WAP,Company
35.1,145.15,500136.0,2021-05-12,13522.0,147.65,138.05,1005.0,38529.0,140.6,4.550000000000011,9.599999999999994,5523114.0,1620757800.0,143.34952892626333,ESTER INDUSTRIES LTD
100.0,27.0,500143.0,2021-05-12,897.0,29.75,27.0,9.0,897.0,29.75,-2.75,2.75,24233.0,1620757800.0,27.015607580824973,PH CAPITAL LTD
48.4,373.3,500144.0,2021-05-12,5042.0,377.7,360.3,550.0,10418.0,368.0,5.300000000000011,17.399999999999977,3880596.0,1620757800.0,372.4895373392206,FINOLEX CABLES LTD
68.85,945.25,500147.0,2021-05-12,4210.0,973.0,911.5,177.0,6115.0,931.0,14.25,61.5,5806242.0,1620757800.0,949.5080948487326,JOHN COCKERILL INDIA LTD
34.18,425.9,500148.0,2021-05-12,4406.0,440.7,424.35,586.0,12892.0,440.0,-14.100000000000023,16.349999999999966,5548994.0,1620757800.0,430.42150170648466,UFLEX LTD
74.47,1372.95,500150.0,2021-05-12,318.0,1414.6,1355.0,146.0,427.0,1410.0,-37.049999999999955,59.59999999999991,592822.0,1620757800.0,1388.3419203747073,FOSECO INDIA LTD
71.59,44.0,500151.0,2021-05-12,3323.0,47.7,41.05,131.0,4642.0,41.05,2.950000000000003,6.650000000000006,207124.0,1620757800.0,44.61956053425248,GOLDEN TOBACCO LTD
90.3,67.05,500153.0,2021-05-12,74540.0,69.5,66.2,416.0,82549.0,68.95,-1.9000000000000057,3.299999999999997,5602095.0,1620757800.0,67.86387478951895,GANESH BENZOPLAST LTD
54.34,59.4,500159.0,2021-05-12,1410.0,63.9,57.5,47.0,2595.0,63.9,-4.5,6.399999999999999,152301.0,1620757800.0,58.690173410404626,METROGLOBAL LIMITED
66.67,7.05,500160.0,2021-05-12,87263.0,7.33,6.92,244.0,130891.0,7.23,-0.1800000000000006,0.41000000000000014,938176.0,1620757800.0,7.167612746483716,GTL LTD
49.61,858.15,500163.0,2021-05-12,761.0,866.25,857.0,181.0,1534.0,863.5,-5.350000000000023,9.25,1322679.0,1620757800.0,862.2418513689701,GODFREY PHILLIPS INDIA LTD
13.99,556.25,500164.0,2021-05-12,51904.0,610.6,510.7,14202.0,371137.0,513.0,43.25,99.90000000000003,214863651.0,1620757800.0,578.9335232003276,GODREJ INDUSTRIES LTD
48.56,558.95,500165.0,2021-05-12,6314.0,561.55,549.7,847.0,13002.0,557.05,1.900000000000091,11.849999999999909,7229910.0,1620757800.0,556.0613751730504,KANSAI NEROLAC PAINTS LTD
70.85,265.1,500166.0,2021-05-12,14984.0,274.95,258.05,307.0,21148.0,272.0,-6.899999999999977,16.899999999999977,5638590.0,1620757800.0,266.6252127860791,GOODRICKE GROUP LTD
67.97,903.1,500168.0,2021-05-12,1076.0,914.95,899.15,290.0,1583.0,901.1,2.0,15.800000000000068,1430061.0,1620757800.0,903.3866077068857,GOODYEAR INDIA LTD
89.27,11.25,500170.0,2021-05-12,1781.0,11.5,10.42,24.0,1995.0,11.0,0.25,1.08,22317.0,1620757800.0,11.186466165413535,GTN INDUSTRIES LTD
48.88,262.3,500171.0,2021-05-12,29450.0,274.95,257.75,1880.0,60255.0,261.0,1.3000000000000114,17.19999999999999,16048694.0,1620757800.0,266.346261721019,GHCL LTD
67.28,71.05,500173.0,2021-05-12,7713.0,73.0,70.0,152.0,11464.0,73.0,-1.9500000000000028,3.0,813330.0,1620757800.0,70.94644103279832,GFL LTD
100.0,2.05,500174.0,2021-05-12,500.0,2.05,2.05,2.0,500.0,2.05,0.0,0.0,1025.0,1620757800.0,2.05,GUJARAT LEASE FINANCING LTD
60.07,9.39,500179.0,2021-05-12,173948.0,9.74,8.93,593.0,289575.0,9.74,-0.34999999999999964,0.8100000000000005,2688062.0,1620757800.0,9.282783389450056,HCL INFOSYSTEMS LTD
29.36,1399.5,500180.0,2021-05-12,74987.0,1408.9,1389.05,14652.0,255383.0,1403.0,-3.5,19.850000000000136,357019991.0,1620757800.0,1397.9786869133811,HDFC BANK LTD
25.21,2841.85,500182.0,2021-05-12,3813.0,2857.75,2815.5,1246.0,15125.0,2844.0,-2.150000000000091,42.25,42869086.0,1620757800.0,2834.31973553719,HERO MOTOCORP LTD
38.73,35.9,500183.0,2021-05-12,1369224.0,38.35,35.4,9426.0,3535413.0,37.5,-1.6000000000000014,2.950000000000003,130841628.0,1620757800.0,37.00886657372137,HFCL LTD
27.06,49.65,500184.0,2021-05-12,352801.0,52.3,49.15,4209.0,1303595.0,51.75,-2.1000000000000014,3.1499999999999986,66438531.0,1620757800.0,50.96562275860217,HIMADRI SPECIALITY CHEMICAL LTD
43.73,8.33,500185.0,2021-05-12,919428.0,8.7,8.2,2104.0,2102601.0,8.2,0.13000000000000078,0.5,17743880.0,1620757800.0,8.439014344614122,HINDUSTAN CONSTRUCTION COLTD
33.52,118.75,500186.0,2021-05-12,44275.0,123.8,117.05,2098.0,132093.0,123.8,-5.049999999999997,6.75,15740449.0,1620757800.0,119.16187080314627,HINDUSTAN OIL EXPLORATION COLTD
32.22,204.45,500187.0,2021-05-12,185602.0,226.85,201.0,13350.0,575994.0,214.9,-10.450000000000017,25.849999999999994,123074529.0,1620757800.0,213.67328305503182,HSIL LTD
39.32,316.95,500188.0,2021-05-12,253827.0,332.0,312.0,15168.0,645554.0,315.0,1.9499999999999886,20.0,208954595.0,1620757800.0,323.6825966534171,HINDUSTAN ZINC LTD
64.59,517.3,500189.0,2021-05-12,1355.0,543.7,501.25,242.0,2098.0,516.0,1.2999999999999545,42.450000000000045,1094728.0,1620757800.0,521.7959961868446,NXTDIGITAL LTD
100.0,28.95,500191.0,2021-05-12,18122.0,29.65,27.75,108.0,18122.0,29.5,-0.5500000000000007,1.8999999999999986,528317.0,1620757800.0,29.15334951992054,HMT LTD
100.0,1.65,500192.0,2021-05-12,7478.0,1.65,1.58,18.0,7478.0,1.58,0.06999999999999984,0.06999999999999984,12062.0,1620757800.0,1.612998127841669,PRAG BOSIMI SYNTHETICS LTD
