DATE,SCRIP CODE,DELIVERY QTY,DELIVERY VAL,DAY'S VOLUME,DAY'S TURNOVER,DELV. PER.
2021-05-12,503960,8735,11590035,22940,30490636,38.08
2021-05-12,504000,8241,331289,9641,389575,85.48
2021-05-12,504008,16123,23804,16123,23804,100.0
2021-05-12,504028,28766,1323236,31175,1438796,92.27
2021-05-12,504036,997,129710,1219,159854,81.79
2021-05-12,504058,1787,1411730,2166,1750855,82.5
2021-05-12,504067,6112,1664909,10991,2976776,55.61
2021-05-12,504076,8682,97933,8703,97128,99.76
2021-05-12,504080,396,45698,396,45698,100.0
2021-05-12,504084,12,35268,13,38089,92.31
2021-05-12,504092,3748,137552,5906,218034,63.46
2021-05-12,504093,5822,1249693,8262,1768128,70.47
2021-05-12,504112,15222,3166176,26157,5511949,58.19
2021-05-12,504132,3611,986887,5387,1483916,67.03
2021-05-12,504176,2239,1745301,3352,2628760,66.8
2021-05-12,504180,1834,61806,1834,61805,100.0
2021-05-12,504212,1083,163913,1333,204659,81.25
2021-05-12,504220,13422,68937,13422,68937,100.0
2021-05-12,504240,5443,210100,6591,257841,82.58
2021-05-12,504258,1904,612517,3073,998747,61.96
2021-05-12,504273,13086,161220,14168,177048,92.36
2021-05-12,504286,2494,71828,9528,281521,26.18
2021-05-12,504335,584554,133302,584554,133302,100.0
2021-05-12,504340,110,433,110,432,100.0
2021-05-12,504341,5461,185128,5683,189315,96.09
2021-05-12,504378,25748,129254,25748,129254,100.0
2021-05-12,504380,2,14,2,14,100.0
2021-05-12,504392,125,1424,125,1424,100.0
2021-05-12,504605,419,181846,419,182255,100.0
2021-05-12,504614,14438,8141589,25341,14383080,56.97
2021-05-12,504646,492,72251,655,95238,75.11
2021-05-12,504673,476,1598,476,1598,100.0
2021-05-12,504697,705,775,705,775,100.0
2021-05-12,504741,12682,2190816,21755,3763774,58.29
2021-05-12,504746,30,9535,30,9535,100.0
2021-05-12,504786,2002,447748,2193,498402,91.29
2021-05-12,504810,678,16069,678,16068,100.0
2021-05-12,504840,126,149644,232,268278,54.31
2021-05-12,504879,70271,1742721,141108,3553935,49.8
2021-05-12,504882,69,47058,78,51055,88.46
2021-05-12,504908,11910,2025296,16984,3029407,70.12
2021-05-12,504918,35200,57509760,61651,100489862,57.1
2021-05-12,504959,3271,7152369,3272,7154555,99.97
2021-05-12,504961,15577,797543,24958,1313594,62.41
2021-05-12,504966,52026,10894245,281342,61023748,18.49
2021-05-12,504973,1510,846506,3164,1794982,47.72
2021-05-12,504988,243,135692,347,198769,70.03
2021-05-12,505010,486,491954,614,623859,79.15
2021-05-12,505036,5709,2154863,6624,2529922,86.19
2021-05-12,505075,60431,1229771,82484,1711581,73.26
2021-05-12,505141,6389,230951,6389,230951,100.0
2021-05-12,505160,697,139888,941,188063,74.07
2021-05-12,505163,3008,1285620,3934,1663492,76.46
2021-05-12,505192,4094,1840868,5169,2360540,79.2
2021-05-12,505196,2471,569937,3912,911802,63.16
2021-05-12,505200,1984,4873696,9050,22252680,21.92
2021-05-12,505216,215,138890,250,153713,86.0
2021-05-12,505232,374,284053,397,299726,94.21
2021-05-12,505242,130,132301,214,218948,60.75
2021-05-12,505250,2108,109722,2119,110448,99.48
2021-05-12,505255,2096,9400246,7756,34875465,27.02
2021-05-12,505283,21146,7629477,26218,9475639,80.65
2021-05-12,505299,1683,206420,2241,276301,75.1
2021-05-12,505324,2730,32679,3445,40136,79.25
2021-05-12,505355,1696,853936,2423,1220112,70.0
2021-05-12,505358,10121,309197,11578,354341,87.42
2021-05-12,505368,729,431897,1119,662543,65.15
2021-05-12,505400,5451,383206,5996,421607,90.91
2021-05-12,505412,196,665656,221,754915,88.69
2021-05-12,505509,1365,215807,12906,2040183,10.58
2021-05-12,505523,79352,38883,79352,38882,100.0
2021-05-12,505526,24981,1739927,49461,3440817,50.51
2021-05-12,505533,3650,1539570,6680,2836115,54.64
2021-05-12,505537,840408,162366826,2389468,459822758,35.17
2021-05-12,505576,204,12659,204,13001,100.0
2021-05-12,505590,136983,10965490,144348,11503874,94.9
2021-05-12,505650,5854,46715,7886,61919,74.23
2021-05-12,505681,2847,921005,3858,1233652,73.79
2021-05-12,505688,1245,108315,2605,227685,47.79
2021-05-12,505690,400,33720,430,34596,93.02
2021-05-12,505693,9703,657379,10704,725146,90.65
2021-05-12,505700,28611,2514907,60684,5396985,47.15
2021-05-12,505710,917175,46821784,1188037,61450779,77.2
2021-05-12,505711,4076,7208,4076,7208,100.0
2021-05-12,505712,443,33447,594,44886,74.58
2021-05-12,505714,15946,1699844,26704,2864591,59.71
2021-05-12,505720,5825,710359,6413,784509,90.83
2021-05-12,505725,251,42801,251,42801,100.0
2021-05-12,505726,1420,1307465,4022,3730290,35.31
2021-05-12,505729,34859,1425734,43525,1783116,80.09
2021-05-12,505737,1226,225768,1402,260846,87.45
2021-05-12,505744,10895,3146476,17666,5137923,61.67
2021-05-12,505750,2254,2087993,3256,2966906,69.23
2021-05-12,505790,177,875858,254,1256666,69.68
2021-05-12,505800,576,324576,786,445297,73.28
2021-05-12,505827,25,4900,42,8194,59.52
2021-05-12,505840,9416,77092,9416,77092,100.0
2021-05-12,505850,18634,1069592,21014,1204077,88.67
2021-05-12,505854,3936,386712,8724,864345,45.12
2021-05-12,505872,3463,2359342,4152,2860275,83.41
2021-05-12,505890,48,49803,63,65888,76.19
2021-05-12,505893,4365,725900,5053,824553,86.38
2021-05-12,505978,437,396622,689,616337,63.43
2021-05-12,506003,1711,7974,1711,7974,100.0
2021-05-12,506022,159298,14958083,355076,34223666,44.86
2021-05-12,506074,45595,1447642,50587,1593093,90.13
2021-05-12,506076,12478,14578672,38499,47761779,32.41
2021-05-12,506079,3509,18568,3509,18568,100.0
2021-05-12,506105,36,2988,36,2967,100.0
2021-05-12,506109,2074,205638,2100,207609,98.76
2021-05-12,506122,100,4615,162,7644,61.73
2021-05-12,506128,1677,41301,1677,41301,100.0
2021-05-12,506134,110,352,110,352,100.0
2021-05-12,506146,288860,205091,464725,325375,62.16
2021-05-12,506184,2538,10812,2538,10699,100.0
2021-05-12,506194,8315,554216,8315,554216,100.0
2021-05-12,506197,249210,29020505,415133,49386677,60.03
2021-05-12,506222,2823,3427405,5417,6633909,52.11
2021-05-12,506235,146501,18459126,337566,42874715,43.4
2021-05-12,506248,18722,1778590,25369,2456907,73.8
2021-05-12,506260,88761,13700261,112583,17598932,78.84
2021-05-12,506261,18315,1025640,24451,1384307,74.9
2021-05-12,506285,1328,7285143,2461,13553161,53.96
2021-05-12,506365,1291,36718,1291,36718,100.0
2021-05-12,506390,12823,6105672,26735,12678485,47.96
2021-05-12,506395,30763,23713659,69308,53432165,44.39
2021-05-12,506401,12513,22418917,55059,98879789,22.73
2021-05-12,506405,14808,4880717,19398,6419371,76.34
2021-05-12,506414,48709,15452931,63659,20384379,76.52
2021-05-12,506480,225,44438,232,46149,96.98
2021-05-12,506520,56748,285443,85240,427084,66.57
2021-05-12,506522,8,15920,14,27591,57.14
2021-05-12,506525,3928,497285,7721,984108,50.87
2021-05-12,506528,187,101972,211,114959,88.63
2021-05-12,506532,12361,2262682,16170,2954303,76.44
2021-05-12,506543,477,1529,477,1529,100.0
2021-05-12,506579,861,805810,1478,1391611,58.25
2021-05-12,506590,44991,9000450,78271,15927539,57.48
2021-05-12,506597,2241,760708,2511,855853,89.25
2021-05-12,506605,38,18077,44,21364,86.36
2021-05-12,506618,2458,2754681,5231,5850142,46.99
2021-05-12,506640,2,166,2,166,100.0
2021-05-12,506642,896970,41574560,1570417,72198629,57.12
2021-05-12,506655,25105,17185628,73645,50918209,34.09
2021-05-12,506685,32600,13260050,39751,16247667,82.01
2021-05-12,506687,2978,4016429,3589,4857213,82.98
2021-05-12,506690,1513,509125,2374,803840,63.73
2021-05-12,506734,5055,391510,5155,387613,98.06
2021-05-12,506767,9367,36606705,23546,91067607,39.78
2021-05-12,506808,29166,350576,38872,475200,75.03
2021-05-12,506820,1420,5309380,2272,8550426,62.5
